"survey_id","country","community","years_fishing","age","boat_length_m","fishing_organization","education","gdp_prop","income_usd","NY.GDP.PCAP.KD","fishing_org_members","fishtech","boat_own","income_fishing","rank_one"
1001,"IND","RAJ",1,19,7,"y","formal",0.198849263260661,852,4284.65253543916,10,0,1,100,"pollution"
1002,"IND","RAJ",25,41,9,"y","formal",0.198849263260661,852,4284.65253543916,10,1,1,100,"weather"
1003,"IND","RAJ",55,68,9,"y","formal",0.298273894890991,1278,4284.65253543916,7,0,0,30,"weather"
1004,"IND","RAJ",15,56,4,"y","formal",0.198849263260661,852,4284.65253543916,10,0,1,100,"pollution"
1005,"IND","RAJ",30,59,5,"y","formal",0.401012680909,1718.2,4284.65253543916,6,0,1,100,"weather"
1006,"IND","RAJ",7,26,6,"y","formal",0.198849263260661,852,4284.65253543916,3,0,1,50,"iuu"
1007,"IND","RAJ",11,23,7,"y","formal",0.218734189586727,937.2,4284.65253543916,8,0,0,100,"corruption"
1008,"IND","RAJ",9,33,9,"y","formal",0.596547789781983,2556,4284.65253543916,6,0,1,100,"weather"
1009,"IND","RAJ",34,46,9,"n","formal",0.0198849263260661,85.2,4284.65253543916,8,0,1,100,"weather"
1010,"IND","RAJ",30,42,9,"y","formal",1.59079410608529,6816,4284.65253543916,8,0,1,75,"weather"
1011,"IND","RAJ",5,37,6,"y","formal",0.795397053042644,3408,4284.65253543916,8,0,1,25,"iuu"
1012,"IND","RAJ",30,52,8,"y","higher",0.401012680909,1718.2,4284.65253543916,4,0,1,81,"weather"
1013,"IND","RAJ",15,33,6,"y","formal",0.298273894890991,1278,4284.65253543916,5,0,0,70,"iuu"
1014,"IND","RAJ",15,50,4,"y","higher",0.401012680909,1718.2,4284.65253543916,15,0,1,81,"weather"
1015,"IND","RAJ",30,42,3,"y","formal",0.401012680909,1718.2,4284.65253543916,10,0,1,81,"pollution"
1016,"IND","RAJ",16,37,2,"y","formal",0.401012680909,1718.2,4284.65253543916,5,0,0,81,"weather"
1017,"IND","RAJ",15,40,4,"y","formal",0.401012680909,1718.2,4284.65253543916,20,0,1,81,"weather"
1018,"IND","RAJ",28,40,9,"n","formal",0.198849263260661,852,4284.65253543916,8,0,1,100,"corruption"
2001,"IND","MNC",3,54,10,"y","formal",0.198849263260661,852,4284.65253543916,62,0,1,100,"pollution"
2002,"IND","MNC",24,40,10,"y","no_formal",1.98849263260661,8520,4284.65253543916,62,0,1,100,"pollution"
2003,"IND","MNC",9,36,10,"y","formal",1.98849263260661,8520,4284.65253543916,62,0,1,100,"pollution"
2004,"IND","MNC",30,40,10,"y","formal",1.98849263260661,8520,4284.65253543916,62,0,1,100,"pollution"
3001,"IND","MAK",20,40,28,"y","formal",0.298273894890991,1278,4284.65253543916,20,0,1,100,"pollution"
3002,"IND","MAK",30,50,8,"y","formal",0.397698526521322,1704,4284.65253543916,20,0,1,100,"pollution"
3003,"IND","MAK",31,39,8,"n","formal",0.596547789781983,2556,4284.65253543916,111,0,0,100,"weather"
3004,"IND","MAK",8,37,7,"y","formal",0.198849263260661,852,4284.65253543916,30,0,0,100,"weather"
3005,"IND","MAK",15,30,3,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3006,"IND","MAK",30,41,7,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3007,"IND","MAK",20,35,3,"y","formal",0.198849263260661,852,4284.65253543916,30,0,0,100,"weather"
3008,"IND","MAK",30,45,3,"y","no_formal",0.497123158151652,2130,4284.65253543916,20,1,0,100,"pollution"
3009,"IND","MAK",13,75,15,"n","no_formal",0.497123158151652,2130,4284.65253543916,111,1,0,100,"corruption"
3010,"IND","MAK",4,19,7,"y","formal",0.198849263260661,852,4284.65253543916,13,0,0,100,"weather"
3011,"IND","MAK",20,46,3,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3012,"IND","MAK",9,32,3,"y","formal",0.397698526521322,1704,4284.65253543916,30,0,0,100,"weather"
3013,"IND","MAK",29,39,8,"y","formal",0.397698526521322,1704,4284.65253543916,25,0,1,100,"iuu"
3014,"IND","MAK",50,60,16,"y","formal",3.97698526521322,17040,4284.65253543916,12,0,1,100,"weather"
3015,"IND","MAK",30,47,5,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,1,100,"pollution"
3016,"IND","MAK",32,42,5,"y","formal",0.596547789781983,2556,4284.65253543916,10,0,0,100,"pollution"
3017,"IND","MAK",30,42,5,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,1,100,"pollution"
3018,"IND","MAK",25,40,5,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"pollution"
3019,"IND","MAK",25,39,7,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3020,"IND","MAK",17,28,6,"y","formal",0.397698526521322,1704,4284.65253543916,30,1,0,100,"weather"
3021,"IND","MAK",10,23,6,"n","formal",0.298273894890991,1278,4284.65253543916,111,0,0,100,"weather"
3022,"IND","MAK",10,59,100,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3023,"IND","MAK",5,40,20,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3024,"IND","MAK",25,40,15,"n","formal",0.596547789781983,2556,4284.65253543916,111,0,0,100,"weather"
3025,"IND","MAK",1,48,15,"n","no_formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3026,"IND","MAK",20,35,7,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3027,"IND","MAK",25,40,7,"y","formal",0.596547789781983,2556,4284.65253543916,200,1,0,100,"weather"
3028,"IND","MAK",20,54,13,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3029,"IND","MAK",22,35,7,"y","formal",0.596547789781983,2556,4284.65253543916,200,1,0,100,"weather"
3030,"IND","MAK",6,35,7,"y","formal",1.19309557956397,5112,4284.65253543916,200,1,0,100,"weather"
3031,"IND","MAK",4,29,8,"n","formal",0.397698526521322,1704,4284.65253543916,111,1,0,100,"weather"
