"survey_id","survey_version","country","choice","wtp","package","sos","info","own"
5016,3,"MEX",1,-2.07,3,0,1,"1"
5020,16,"MEX",1,-2.07,32,1,1,"2"
6039,13,"MEX",1,-2.07,29,1,0,"3"
5044,13,"MEX",1,-2.07,29,1,0,"3"
5032,12,"MEX",1,-2.07,12,1,1,"1"
6013,11,"MEX",1,-5.17,27,0,0,"4"
5031,15,"MEX",1,3.62,15,0,0,"1"
5037,7,"MEX",1,5.17,7,1,0,"1"
5001,7,"MEX",1,7.75,7,1,0,"1"
5006,9,"MEX",1,5.17,9,1,0,"3"
5021,14,"MEX",1,7.75,14,1,0,"2"
5038,16,"MEX",1,5.17,32,1,1,"2"
5040,7,"MEX",1,7.75,7,1,0,"1"
5042,5,"MEX",1,7.75,21,1,1,"4"
5045,4,"MEX",1,7.75,4,1,0,"4"
5046,10,"MEX",1,7.75,26,1,0,"2"
6001,1,"MEX",1,3.62,17,1,1,"3"
6002,3,"MEX",1,7.75,19,1,0,"4"
6014,5,"MEX",1,7.75,21,1,1,"4"
6028,11,"MEX",1,2.07,11,1,1,"4"
6030,15,"MEX",1,2.07,15,0,0,"1"
6031,8,"MEX",1,3.62,24,0,1,"1"
6032,5,"MEX",1,3.62,21,1,1,"4"
6038,11,"MEX",1,2.07,11,1,1,"4"
6041,15,"MEX",1,2.07,15,0,0,"1"
5002,6,"MEX",1,3.62,22,1,0,"1"
5004,5,"MEX",1,5.17,21,1,1,"4"
5005,8,"MEX",1,2.07,8,0,1,"4"
5007,4,"MEX",1,2.07,4,1,0,"4"
5008,2,"MEX",1,2.07,2,1,1,"3"
5010,11,"MEX",1,5.17,11,1,1,"4"
5012,13,"MEX",1,2.07,13,1,1,"2"
5026,1,"MEX",1,7.75,17,1,1,"3"
5028,5,"MEX",1,2.07,21,1,1,"4"
5030,11,"MEX",1,7.75,11,1,1,"4"
5033,12,"MEX",1,3.62,12,1,1,"1"
5034,8,"MEX",1,3.62,24,0,1,"1"
5047,2,"MEX",1,7.75,2,1,1,"3"
6003,9,"MEX",1,2.07,9,1,0,"3"
6004,10,"MEX",1,0,26,1,0,"2"
6005,12,"MEX",1,0,12,1,1,"1"
6007,3,"MEX",1,0,19,1,0,"4"
6010,12,"MEX",1,3.62,12,1,1,"1"
6011,1,"MEX",1,2.07,17,1,1,"3"
6012,6,"MEX",1,7.75,22,1,0,"1"
6016,4,"MEX",1,0,20,0,0,"1"
6023,14,"MEX",1,2.07,30,1,1,"1"
6024,5,"MEX",1,2.07,21,1,1,"4"
6037,6,"MEX",1,2.07,22,1,0,"1"
5011,15,"MEX",1,5.17,15,0,0,"1"
5013,14,"MEX",1,7.75,30,1,1,"1"
5015,10,"MEX",1,7.75,26,1,0,"2"
5017,6,"MEX",1,7.75,22,1,0,"1"
5018,7,"MEX",1,7.75,7,1,0,"1"
5019,2,"MEX",1,5.17,2,1,1,"3"
5023,3,"MEX",1,7.75,19,1,0,"4"
5029,9,"MEX",1,3.62,9,1,0,"3"
